Year,Month,Day,Hour,air_temp,dni,ghi,PeriodEnd.UTC,PeriodEnd.NZ
2022,9,12,3,14,0,0,2022-09-11T15:00:00Z,2022-09-11T15:00:00Z
2022,9,12,4,14,0,0,2022-09-11T16:00:00Z,2022-09-11T16:00:00Z
2022,9,12,5,14,0,0,2022-09-11T17:00:00Z,2022-09-11T17:00:00Z
2022,9,12,6,13,0,0,2022-09-11T18:00:00Z,2022-09-11T18:00:00Z
2022,9,12,7,13,1,6,2022-09-11T19:00:00Z,2022-09-11T19:00:00Z
2022,9,12,8,14,2,66,2022-09-11T20:00:00Z,2022-09-11T20:00:00Z
2022,9,12,9,15,45,176,2022-09-11T21:00:00Z,2022-09-11T21:00:00Z
2022,9,12,10,16,70,293,2022-09-11T22:00:00Z,2022-09-11T22:00:00Z
2022,9,12,11,16,10,311,2022-09-11T23:00:00Z,2022-09-11T23:00:00Z
2022,9,12,12,17,65,428,2022-09-12T00:00:00Z,2022-09-12T00:00:00Z
2022,9,12,13,17,0,280,2022-09-12T01:00:00Z,2022-09-12T01:00:00Z
2022,9,12,14,17,4,201,2022-09-12T02:00:00Z,2022-09-12T02:00:00Z
2022,9,12,15,17,0,98,2022-09-12T03:00:00Z,2022-09-12T03:00:00Z
2022,9,12,16,16,0,53,2022-09-12T04:00:00Z,2022-09-12T04:00:00Z
2022,9,12,17,16,0,86,2022-09-12T05:00:00Z,2022-09-12T05:00:00Z
2022,9,12,18,16,0,21,2022-09-12T06:00:00Z,2022-09-12T06:00:00Z
2022,9,12,19,15,0,0,2022-09-12T07:00:00Z,2022-09-12T07:00:00Z
2022,9,12,20,15,0,0,2022-09-12T08:00:00Z,2022-09-12T08:00:00Z
2022,9,12,21,15,0,0,2022-09-12T09:00:00Z,2022-09-12T09:00:00Z
2022,9,12,22,15,0,0,2022-09-12T10:00:00Z,2022-09-12T10:00:00Z
2022,9,12,23,15,0,0,2022-09-12T11:00:00Z,2022-09-12T11:00:00Z
2022,9,13,0,15,0,0,2022-09-12T12:00:00Z,2022-09-12T12:00:00Z
2022,9,13,1,15,0,0,2022-09-12T13:00:00Z,2022-09-12T13:00:00Z
2022,9,13,2,15,0,0,2022-09-12T14:00:00Z,2022-09-12T14:00:00Z
2022,9,13,3,14,0,0,2022-09-12T15:00:00Z,2022-09-12T15:00:00Z
2022,9,13,4,14,0,0,2022-09-12T16:00:00Z,2022-09-12T16:00:00Z
2022,9,13,5,14,0,0,2022-09-12T17:00:00Z,2022-09-12T17:00:00Z
2022,9,13,6,14,0,0,2022-09-12T18:00:00Z,2022-09-12T18:00:00Z
2022,9,13,7,14,35,12,2022-09-12T19:00:00Z,2022-09-12T19:00:00Z
2022,9,13,8,14,20,94,2022-09-12T20:00:00Z,2022-09-12T20:00:00Z
2022,9,13,9,15,69,225,2022-09-12T21:00:00Z,2022-09-12T21:00:00Z
2022,9,13,10,16,166,368,2022-09-12T22:00:00Z,2022-09-12T22:00:00Z
2022,9,13,11,16,403,532,2022-09-12T23:00:00Z,2022-09-12T23:00:00Z
2022,9,13,12,16,318,563,2022-09-13T00:00:00Z,2022-09-13T00:00:00Z
2022,9,13,13,17,82,448,2022-09-13T01:00:00Z,2022-09-13T01:00:00Z
2022,9,13,14,16,14,293,2022-09-13T02:00:00Z,2022-09-13T02:00:00Z
2022,9,13,15,16,8,293,2022-09-13T03:00:00Z,2022-09-13T03:00:00Z
2022,9,13,16,15,0,82,2022-09-13T04:00:00Z,2022-09-13T04:00:00Z
